Group,Distance,Percentage
FPKM(0-0.1),0.05,0.33
FPKM(0-0.1),0.10,0.42
FPKM(0-0.1),0.15,0.5
FPKM(0-0.1),0.20,0.53
FPKM(0-0.1),0.25,0.6
FPKM(0-0.1),0.30,0.99
FPKM(0-0.1),0.35,1
FPKM(0-0.1),0.40,1
FPKM(0-0.1),0.45,1
FPKM(0-0.1),0.50,1
FPKM(0-0.1),0.55,1
FPKM(0-0.1),0.60,1
FPKM(0-0.1),0.65,1
FPKM(0-0.1),0.70,1
FPKM(0-0.1),0.75,1
FPKM(0-0.1),0.80,1
FPKM(0-0.1),0.85,1
FPKM(0-0.1),0.90,1
FPKM(0-0.1),0.95,1
FPKM(0-0.1),1.00,1
FPKM(0.1-0.3),0.05,0.18
FPKM(0.1-0.3),0.10,0.27
FPKM(0.1-0.3),0.15,0.33
FPKM(0.1-0.3),0.20,0.37
FPKM(0.1-0.3),0.25,0.41
FPKM(0.1-0.3),0.30,0.96
FPKM(0.1-0.3),0.35,1
FPKM(0.1-0.3),0.40,1
FPKM(0.1-0.3),0.45,1
FPKM(0.1-0.3),0.50,1
FPKM(0.1-0.3),0.55,1
FPKM(0.1-0.3),0.60,1
FPKM(0.1-0.3),0.65,1
FPKM(0.1-0.3),0.70,1
FPKM(0.1-0.3),0.75,1
FPKM(0.1-0.3),0.80,1
FPKM(0.1-0.3),0.85,1
FPKM(0.1-0.3),0.90,1
FPKM(0.1-0.3),0.95,1
FPKM(0.1-0.3),1.00,1
FPKM(0.3-3.57),0.05,0.12
FPKM(0.3-3.57),0.10,0.17
FPKM(0.3-3.57),0.15,0.21
FPKM(0.3-3.57),0.20,0.26
FPKM(0.3-3.57),0.25,0.31
FPKM(0.3-3.57),0.30,0.89
FPKM(0.3-3.57),0.35,1
FPKM(0.3-3.57),0.40,1
FPKM(0.3-3.57),0.45,1
FPKM(0.3-3.57),0.50,1
FPKM(0.3-3.57),0.55,1
FPKM(0.3-3.57),0.60,1
FPKM(0.3-3.57),0.65,1
FPKM(0.3-3.57),0.70,1
FPKM(0.3-3.57),0.75,1
FPKM(0.3-3.57),0.80,1
FPKM(0.3-3.57),0.85,1
FPKM(0.3-3.57),0.90,1
FPKM(0.3-3.57),0.95,1
FPKM(0.3-3.57),1.00,1
FPKM(3.57-15),0.05,0.03
FPKM(3.57-15),0.10,0.05
FPKM(3.57-15),0.15,0.05
FPKM(3.57-15),0.20,0.07
FPKM(3.57-15),0.25,0.17
FPKM(3.57-15),0.30,0.85
FPKM(3.57-15),0.35,1
FPKM(3.57-15),0.40,1
FPKM(3.57-15),0.45,1
FPKM(3.57-15),0.50,1
FPKM(3.57-15),0.55,1
FPKM(3.57-15),0.60,1
FPKM(3.57-15),0.65,1
FPKM(3.57-15),0.70,1
FPKM(3.57-15),0.75,1
FPKM(3.57-15),0.80,1
FPKM(3.57-15),0.85,1
FPKM(3.57-15),0.90,1
FPKM(3.57-15),0.95,1
FPKM(3.57-15),1.00,1
FPKM(15-60),0.05,0
FPKM(15-60),0.10,0.01
FPKM(15-60),0.15,0
FPKM(15-60),0.20,0
FPKM(15-60),0.25,0.08
FPKM(15-60),0.30,0.89
FPKM(15-60),0.35,1
FPKM(15-60),0.40,1
FPKM(15-60),0.45,1
FPKM(15-60),0.50,1
FPKM(15-60),0.55,1
FPKM(15-60),0.60,1
FPKM(15-60),0.65,1
FPKM(15-60),0.70,1
FPKM(15-60),0.75,1
FPKM(15-60),0.80,1
FPKM(15-60),0.85,1
FPKM(15-60),0.90,1
FPKM(15-60),0.95,1
FPKM(15-60),1.00,1
FPKM(>60),0.05,1
FPKM(>60),0.10,0.99
FPKM(>60),0.15,0.99
FPKM(>60),0.20,0.99
FPKM(>60),0.25,0.99
FPKM(>60),0.30,1
FPKM(>60),0.35,1
FPKM(>60),0.40,1
FPKM(>60),0.45,1
FPKM(>60),0.50,1
FPKM(>60),0.55,1
FPKM(>60),0.60,1
FPKM(>60),0.65,1
FPKM(>60),0.70,1
FPKM(>60),0.75,1
FPKM(>60),0.80,1
FPKM(>60),0.85,1
FPKM(>60),0.90,1
FPKM(>60),0.95,1
FPKM(>60),1.00,1
