x 	y	Regulated.Genes.225
2.60663	2.928121673	up:152
2.24488	2.928121673	up:152
2.04449	2.928121673	up:152
2.04321	2.24955255	up:152
1.90176	1.998383095	up:152
1.77042	1.412853873	up:152
1.76612	1.545069813	up:152
1.74011	2.928121673	up:152
1.72129	1.85447419	up:152
1.66327	2.928121673	up:152
1.57896	2.928121673	up:152
1.56699	1.364537365	up:152
1.52231	2.928121673	up:152
1.49741	2.928121673	up:152
1.48856	2.928121673	up:152
1.48704	2.928121673	up:152
1.46999	2.508425414	up:152
1.43759	2.928121673	up:152
1.41372	2.928121673	up:152
1.40204	2.508425414	up:152
1.39611	2.508425414	up:152
1.39122	2.928121673	up:152
1.33243	2.928121673	up:152
1.30503	2.928121673	up:152
1.27859	2.928121673	up:152
1.2307	2.928121673	up:152
1.21903	1.768979208	up:152
1.16812	2.928121673	up:152
1.12911	2.928121673	up:152
1.12647	1.739649512	up:152
1.11952	2.928121673	up:152
1.10519	2.193655161	up:152
1.08033	2.928121673	up:152
1.06371	1.943499154	up:152
1.06104	2.928121673	up:152
1.05308	2.928121673	up:152
1.0385	2.660838848	up:152
1.03712	2.928121673	up:152
1.01701	2.928121673	up:152
0.993565	2.928121673	up:152
0.992596	2.928121673	up:152
0.983877	1.476068932	up:152
0.98252	2.928121673	up:152
0.980456	1.522453345	up:152
0.977735	2.928121673	up:152
0.977183	2.928121673	up:152
0.975269	2.928121673	up:152
0.953645	2.928121673	up:152
0.952664	2.928121673	up:152
0.949806	1.676776785	up:152
0.946968	1.407805471	up:152
0.918728	2.928121673	up:152
0.909697	2.660838848	up:152
0.901472	1.835620373	up:152
0.895433	2.928121673	up:152
0.885616	1.943499154	up:152
0.876309	2.928121673	up:152
0.871776	2.928121673	up:152
0.871275	1.895977477	up:152
0.850718	2.660838848	up:152
0.848147	2.399334158	up:152
0.837558	2.928121673	up:152
0.835075	2.928121673	up:152
0.831665	2.928121673	up:152
0.82508	1.753981772	up:152
0.819001	2.928121673	up:152
0.81332	1.654532166	up:152
0.807719	2.928121673	up:152
0.807559	1.998383095	up:152
0.805635	2.660838848	up:152
0.80533	2.928121673	up:152
0.799205	2.928121673	up:152
0.79814	1.874531747	up:152
0.787852	2.928121673	up:152
0.784491	2.029733573	up:152
0.780281	2.928121673	up:152
0.779829	2.928121673	up:152
0.777486	1.338771497	up:152
0.758625	1.469781086	up:152
0.757433	1.768979208	up:152
0.751454	2.928121673	up:152
0.746242	2.928121673	up:152
0.744677	1.654532166	up:152
0.74305	2.928121673	up:152
0.740456	1.355743636	up:152
0.733312	2.928121673	up:152
0.732029	2.316176072	up:152
0.723017	2.508425414	up:152
0.713889	2.508425414	up:152
0.712413	2.928121673	up:152
0.711956	1.753981772	up:152
0.710917	2.928121673	up:152
0.710094	1.330907299	up:152
0.706296	1.515465278	up:152
0.704776	2.316176072	up:152
0.69895	2.928121673	up:152
0.692371	1.457424769	up:152
0.689629	2.928121673	up:152
0.688917	1.364537365	up:152
0.686956	2.508425414	up:152
0.68641	1.360239673	up:152
0.68267	1.753981772	up:152
0.681978	2.660838848	up:152
0.680889	2.928121673	up:152
0.680139	1.753981772	up:152
0.67883	2.144669261	up:152
0.676531	2.928121673	up:152
0.674052	2.399334158	up:152
0.670785	1.768979208	up:152
0.66891	2.660838848	up:152
0.668162	2.928121673	up:152
0.662222	2.508425414	up:152
0.661646	2.508425414	up:152
0.659403	2.660838848	up:152
0.658916	2.928121673	up:152
0.656666	1.522453345	up:152
0.655916	2.928121673	up:152
0.652573	2.928121673	up:152
0.650047	2.24955255	up:152
0.649569	2.928121673	up:152
